,mean_histogram,num_channels,num_classes,resolution_0,resolution_1,sequence_size
coil100_num_classes_44_num_dev_examples_2728_num_test_examples_660_resolution_64_num_channels_3,"[2.363000e+01 2.834000e+01 2.461000e+01 4.797000e+01 4.422000e+01
 1.223298e+04 9.168400e+02 6.678200e+02 6.844400e+02 7.543070e+03
 5.776830e+03 1.383210e+03 4.028600e+02 7.143000e+01 7.113000e+01
 3.129000e+01 4.385000e+01 1.773000e+01 5.433000e+01 7.539000e+01
 2.474200e+02 3.852700e+02 2.334300e+02 1.246200e+02 4.329960e+03
 1.361440e+03 4.730000e+00 6.900000e+00 4.690000e+00 7.910000e+00
 1.093000e+01 1.238400e+02 1.701600e+02 1.280900e+02 2.033000e+02
 1.405700e+02 1.492400e+02 4.179000e+01 9.590000e+00 5.200000e+00
 7.300000e+00 6.710000e+00 4.930000e+00 4.235000e+01 7.241000e+01
 1.206400e+02 8.677000e+01 1.455200e+02 7.963000e+01 4.713000e+01
 1.238000e+01 8.120000e+00 1.314000e+01 8.430000e+00 1.737000e+01
 1.409000e+01 4.369700e+02 2.694500e+02 3.331900e+02 2.012100e+02
 3.076500e+02 2.292300e+02 6.418000e+01 1.248000e+01 8.040000e+00
 1.003000e+01 6.190000e+00 8.200000e+00 7.740000e+00 4.852500e+02
 1.641600e+02 2.200100e+02 1.706790e+03 5.741300e+02 5.300300e+02
 1.991500e+02 9.377000e+01 2.816800e+02 4.401000e+01 2.524000e+01
 3.746000e+01 2.906900e+02 1.407900e+02 2.407100e+02 1.619000e+02
 2.633800e+02 4.440700e+02 1.627100e+02 1.041200e+02 1.392330e+03
 1.851400e+02 1.452300e+02 1.424900e+02 3.694000e+01 1.669200e+02
 7.165000e+01 1.422300e+02 1.095600e+02 1.253100e+02 5.162000e+01]",3,72,128,128,1
coil100_num_classes_45_num_dev_examples_3150_num_test_examples_315_resolution_128_num_channels_3,"[2.49800e+01 3.09000e+01 2.59300e+01 5.09900e+01 4.87100e+01 1.22429e+04
 5.81040e+02 7.59250e+02 7.61000e+02 7.35453e+03 6.38512e+03 1.59729e+03
 5.26380e+02 7.84100e+01 8.11000e+01 3.65700e+01 5.15300e+01 2.40600e+01
 6.55400e+01 8.92400e+01 1.92200e+02 3.66560e+02 2.56030e+02 7.84700e+01
 4.26039e+03 1.42205e+03 5.03000e+00 7.26000e+00 5.38000e+00 9.05000e+00
 1.28000e+01 1.41690e+02 2.12940e+02 1.23980e+02 1.87010e+02 1.41090e+02
 1.36820e+02 4.67800e+01 1.04600e+01 5.49000e+00 6.69000e+00 6.83000e+00
 4.60000e+00 4.31400e+01 8.48900e+01 1.18780e+02 7.56700e+01 1.07440e+02
 5.60600e+01 3.92000e+01 1.21600e+01 7.31000e+00 1.33900e+01 9.93000e+00
 1.82100e+01 1.35900e+01 3.98710e+02 3.06300e+02 3.53500e+02 2.09210e+02
 3.19760e+02 2.38450e+02 8.19400e+01 1.58900e+01 9.61000e+00 1.18000e+01
 6.26000e+00 9.49000e+00 7.92000e+00 1.14710e+02 1.64460e+02 2.20940e+02
 1.64761e+03 6.85430e+02 4.27810e+02 1.16900e+02 9.31100e+01 2.86200e+02
 4.91900e+01 3.16400e+01 4.56200e+01 3.87740e+02 1.87920e+02 2.54700e+02
 1.64150e+02 2.59090e+02 2.55850e+02 1.76820e+02 1.17610e+02 1.57590e+03
 1.53350e+02 9.40000e+01 8.43500e+01 2.92200e+01 1.14830e+02 8.29800e+01
 1.18460e+02 6.82000e+01 8.23600e+01 3.71700e+01]",3,72,128,128,1
coil100_num_classes_47_num_dev_examples_1128_num_test_examples_611_resolution_64_num_channels_3,"[2.59900e+01 2.60700e+01 2.42700e+01 5.11700e+01 4.19200e+01 1.33336e+04
 6.48030e+02 6.47870e+02 7.06470e+02 7.58392e+03 6.12460e+03 9.90740e+02
 5.55060e+02 6.90600e+01 6.54400e+01 3.47100e+01 4.38500e+01 1.90500e+01
 6.43600e+01 5.69400e+01 1.65390e+02 3.47410e+02 2.59480e+02 8.04500e+01
 4.44139e+03 1.23789e+03 4.53000e+00 7.51000e+00 5.85000e+00 9.20000e+00
 1.27700e+01 1.33270e+02 1.82950e+02 1.20030e+02 1.88520e+02 1.43740e+02
 1.61810e+02 5.01500e+01 1.16400e+01 5.88000e+00 7.75000e+00 7.11000e+00
 4.97000e+00 4.02200e+01 5.15400e+01 9.42000e+01 6.74200e+01 1.11470e+02
 5.35300e+01 3.60400e+01 1.10900e+01 7.09000e+00 1.26600e+01 8.86000e+00
 1.58800e+01 1.11600e+01 3.19510e+02 2.55170e+02 3.40130e+02 2.13900e+02
 3.30110e+02 2.69520e+02 9.32100e+01 1.72000e+01 9.84000e+00 1.25400e+01
 7.04000e+00 9.91000e+00 8.51000e+00 9.98800e+01 1.34700e+02 2.21420e+02
 1.67913e+03 6.36500e+02 3.27990e+02 1.19610e+02 8.31900e+01 2.88420e+02
 5.40600e+01 3.50300e+01 5.06000e+01 3.61670e+02 1.59190e+02 2.51430e+02
 1.71560e+02 2.84170e+02 6.48710e+02 1.96160e+02 8.34300e+01 1.35817e+03
 1.42590e+02 1.01280e+02 8.61300e+01 2.47700e+01 8.59700e+01 5.87500e+01
 1.07750e+02 6.93100e+01 8.53000e+01 3.45700e+01]",3,72,128,128,1
colorectal_histology_num_classes_2_num_dev_examples_814_num_test_examples_190_resolution_64_num_channels_3,"[ 366.93  374.69  251.11  390.47  258.47  372.75  250.72  390.32  261.03
  377.99  389.97  474.13  405.    259.41  389.51  253.77  392.9   263.99
  386.03  259.16  392.03  400.12  257.64  378.64 6931.31  396.31  258.53
  375.31  265.22  400.08  379.14  255.98  393.29  260.54  382.89  253.34
 1398.42  263.23  382.61  257.21  396.39  383.38  257.32  395.98  262.9
  383.02  256.53  394.86  257.78 1434.44  386.71  252.88  376.68  262.4
  391.33  262.06  384.61  273.21  395.51  257.58  390.31  920.86  264.77
  376.25  268.61  412.66  260.85  390.4   268.49  432.89  411.03  278.72
  425.69  295.25  675.48  322.65  484.93  341.76  499.49  345.96  537.48
  639.91  473.16  709.66  462.18  688.71  533.98  848.51  591.59  872.45
  804.42  478.63  857.51 1683.1   381.2   260.33  375.36  257.37  387.52
  526.12]",3,8,128,128,1
colorectal_histology_num_classes_8_num_dev_examples_3752_num_test_examples_120_resolution_64_num_channels_3,"[ 365.79  371.15  252.05  391.53  257.41  376.97  255.16  393.    262.62
  383.04  394.33  540.29  394.04  265.26  394.89  254.71  390.79  263.76
  388.19  260.51  385.74  400.25  253.59  392.32 6926.21  392.35  252.14
  378.61  265.07  397.98  378.27  255.55  397.8   266.64  387.63  264.29
 1300.47  264.42  386.42  263.82  396.91  383.99  264.73  395.43  260.39
  388.75  255.86  391.33  261.24 1311.83  385.87  252.32  386.05  261.4
  387.43  267.02  378.62  265.62  392.54  258.26  386.93  968.63  264.05
  390.48  268.02  417.03  269.39  393.29  274.77  439.93  418.25  281.19
  436.57  299.15  651.02  332.58  514.73  365.54  537.08  361.82  550.98
  646.91  474.88  696.84  444.34  662.21  506.46  809.72  578.35  843.21
  821.33  503.03  935.78 1556.16  389.23  258.55  370.07  248.05  398.99
  575.81]",3,8,128,128,1
cycle_gan_apple2orange_num_classes_2_num_dev_examples_1897_num_test_examples_166_resolution_128_num_channels_3,"[16704.29   166.85   189.49   205.05   183.63   526.71  6248.98  6496.52
  3443.33  6965.45  6493.11  4512.33  2109.4    158.4    193.66   166.65
   205.61   176.99   491.03   695.17  1162.85  1637.97   800.14  1575.44
 25361.38   186.19    95.94   121.99   125.29   181.89   204.86  1461.3
  2213.72  1700.55  2455.74  1568.03  2582.91  1358.46   181.91    94.6
   115.26   111.9    147.75   643.97   706.3   1211.74   897.79  1228.95
  1017.41  2326.42   346.45    91.06   126.05   242.82   146.22   144.22
  2463.47  2164.73  3642.43  2649.43  3511.62  4069.48  2680.49   393.79
   286.78   279.     147.91   199.76   171.41  1352.75  1438.27  1056.49
  1754.88  1247.9   4592.76   846.1    615.44   346.33   545.72   371.04
   580.81  2117.7   1990.3   3214.61  2175.27  3242.19  2611.11  9053.02
  1232.32  1762.98  2085.35  1205.93  2130.64  4100.31  3199.4    830.64
  1413.69   874.81  1413.43  3637.39]",3,2,256,256,1
cycle_gan_apple2orange_num_classes_2_num_dev_examples_2424_num_test_examples_24_resolution_128_num_channels_3,"[13960.42   189.42   130.83   225.26   229.83   600.09  7457.67  7612.38
  4252.37  8938.85  7377.47  3752.38  2430.18   157.67   206.9    132.04
   199.87   194.18   575.41   859.77  1077.3   1218.79  1324.62  1538.9
 25094.46   180.72    94.9    139.15    98.6    197.59   232.26  1642.4
  2111.27  1490.25  2287.3   1581.86  2132.81  1531.57   168.58   101.
   134.37   125.39   135.     725.99   870.53  1080.3    767.92  1568.61
  1052.56  2035.18   395.42    99.93   145.42   253.36   176.11   186.85
  3103.47  2664.48  4046.02  2723.37  4168.81  3471.3   2764.94   400.47
   234.8    370.11   193.17   239.92   243.36  1560.98  1320.54   954.37
  1924.03  1318.06  3032.43   851.87   884.71   526.59   725.72   435.89
   619.98  2407.22  1953.23  2998.06  2014.29  3159.27  1837.99  8890.03
  1387.85  1516.42  1915.44  1540.64  1784.32  3321.48  3168.69   708.78
  1170.65   961.22  1372.82  2239.95]",3,2,256,256,1
cycle_gan_apple2orange_num_classes_2_num_dev_examples_562_num_test_examples_240_resolution_128_num_channels_3,"[10785.54   194.12   136.84   219.61   161.7    753.55  7568.18  7591.49
  4301.34  8034.35  7472.09  4160.98  2270.81   185.45   237.68   142.67
   180.34   132.94   577.87   757.22  1138.63  1123.72   861.09  1512.54
 25039.92   198.28   101.77   136.93   110.77   152.98   183.38  1638.83
  2380.05  1557.7   2359.3   1748.1   2449.31  1694.83   193.69   103.25
   134.52   123.27    87.06   668.8   1212.11  1095.37   685.9   1134.1
   744.86  2206.81   443.     103.49   150.37   256.88   177.71   140.1
  2672.3   2662.18  4474.4   2923.18  4061.31  4060.26  2864.5    552.08
   279.92   422.06   207.66   250.82   209.06  1423.72  1405.01   898.63
  1470.12   915.56  3119.81   697.69   759.07   506.54   829.89   503.8
   670.83  2323.17  2641.98  3404.67  2215.31  3343.67  2217.82 11949.57
  1298.23  1590.53  1572.8   1137.8   1624.34  4118.15  1790.72   679.69
  1103.58   846.46  1266.86  2728.06]",3,2,256,256,1
cycle_gan_apple2orange_num_classes_2_num_dev_examples_682_num_test_examples_42_resolution_512_num_channels_3,"[12425.93   201.22   136.81   204.01   150.66   649.57  7533.38  7821.72
  4035.87  7726.17  7859.02  4680.17  3228.03   173.92   224.79   134.75
   174.99   123.95   499.72   683.45  1146.83  1135.99   946.87  1716.54
 24684.07   197.87   346.13   136.83   100.24   142.94   171.03  1355.7
  2029.35  1406.73  2141.65  1586.42  2459.5   1234.72   184.16    95.5
   130.04   118.54    86.74   701.65   679.91  1190.63   751.82  1358.88
   850.05  2277.27   437.44   103.63   146.06   268.93   171.4    130.83
  2662.14  2434.13  3859.64  2714.1   4069.01  4147.99  2528.76   406.82
   294.41   340.85   241.21   230.66   263.83  1380.7   1487.42   979.13
  1892.72  1147.54  3658.95   751.5    804.93   480.32   774.87   501.13
   633.76  2066.31  1864.02  2832.73  1941.64  3386.89  2266.44 10574.64
  1136.01  1684.56  1614.13  1383.95  1993.04  4088.62  2088.97   763.89
  1189.43   935.05  1407.35  3412.79]",3,2,256,256,1
cycle_gan_facades_num_classes_2_num_dev_examples_132_num_test_examples_90_resolution_128_num_channels_3,"[35587.78   131.57    91.3    137.52    94.45   515.65  5248.36  7940.85
  2701.33  8124.26  3942.69  2720.79  1671.55   123.88   157.98    96.6
   128.34   105.76  6177.91   489.03   876.45   794.2    533.07  1221.56
 21075.02   409.93    81.59   122.92    88.14   132.92   166.82  5640.75
  2134.51  1136.15  1692.42  1056.57  2007.32   978.91   159.12    99.74
   111.     109.38    77.85   739.83   477.15   808.26   470.59   787.16
   646.76  2020.78   322.16    91.07   127.04   189.34   127.07   105.29
  1693.97  1671.74  3012.75  3004.11  2816.13  3717.51  2116.76   428.1
   477.58   250.3    113.51   162.72   127.23   877.67   858.77   579.16
   858.69   876.06  3974.15   409.86   515.44   372.87  1167.46   298.35
   458.25  1641.09  1860.76  2819.44  1700.29  6890.63  2610.15  7851.68
   834.01  1218.87  1150.02   661.48  2313.49  3137.43  1489.4    631.7
   773.44   515.33   903.74  2959.47]",3,2,256,256,1
cycle_gan_facades_num_classes_2_num_dev_examples_700_num_test_examples_48_resolution_256_num_channels_3,"[36305.64   142.65    94.67   145.38    95.1    633.43  6543.18  6839.52
  2969.78  8864.83  3828.91  2583.97  1552.97   123.89   162.8    104.78
   139.02   109.38  2107.59   582.06   984.54  1026.7    662.5   1416.75
 20615.97   655.06    94.93   119.57    89.     128.08   155.99  3663.24
  2632.98  1353.75  1870.23  1181.84  2001.7   1352.92   166.7     85.81
   115.81   109.1     71.97   878.84   544.51   985.44   608.99   984.02
   752.45  1679.22   310.57    88.82   130.54   186.6    139.8    107.29
  1860.76  1687.19  3308.25  3160.27  2831.3   3153.59  2363.69   561.12
   245.55   493.91   115.35   172.81   139.06  1474.09  1095.71   764.4
  1033.19  1022.23  3326.13   413.98   470.47   337.67  1222.81   264.8
   462.94  1790.93  1989.95  3283.99  1771.02  5182.38  2707.77  7721.85
   914.06  1443.35  1496.03   813.69  2146.82  3139.06  1834.72   673.32
  1009.17   633.85  1238.15  2954.84]",3,2,256,256,1
cycle_gan_horse2zebra_num_classes_2_num_dev_examples_2015_num_test_examples_92_resolution_512_num_channels_3,"[ 4369.19   211.43   485.09   276.     244.19   497.9   4932.98  5610.56
  3762.29  6301.62  5723.72  3800.18  2031.43   156.93   226.51   316.99
   425.96   206.89   911.91  1400.72  2061.95  1936.59   987.53  1642.62
 24902.26   228.15   117.31   172.62   243.5    425.21   376.9   2050.43
  3155.73  2297.68  3298.12  2077.83  3637.51  1273.93   213.22   120.51
   176.66   229.56   371.63  1009.45  1274.44  1798.39  1189.92  1456.12
  1044.15  2497.06   353.62   126.85   175.96   224.94   249.06   227.65
  3060.63  2907.32  4484.93  3012.1   4278.81  4865.91  2426.91   305.18
   173.3    269.73   161.86   261.99   221.66  2127.48  2026.04  1317.43
  1535.62  1194.58  2838.44   503.93   591.81   383.48   586.47   383.2
   681.96  2836.94  2870.89  4799.73  3120.73  4372.52  3233.01  4969.34
  2018.45  2758.27  2683.37  1383.73  2212.69  2479.27  2342.22  1270.01
  1850.03  1244.87  1683.    2360.61]",3,2,256,256,1
cycle_gan_iphone2dslr_flower_num_classes_2_num_dev_examples_1072_num_test_examples_56_resolution_512_num_channels_3,"[ 5541.03  1479.93  1001.37  1547.53  1006.27  1512.26  1654.68  2538.08
  1558.17  2480.02  2476.45  1533.46  1892.33  1002.34  1542.67  1013.28
  1484.19  1010.22  1562.27  1065.09  1572.48  1670.59  1141.1   1774.4
 25511.3   1537.77  1010.48  1495.95  1013.28  1538.68  1488.99  1087.66
  1739.8   1146.41  1751.84  1227.76  2171.89  1146.76  1487.91  1010.89
  1557.52  1501.14  1012.37  1579.13  1063.49  1558.88  1070.36  1747.73
  1262.8   2006.62  1549.95  1015.94  1515.4   1037.39  1557.28  1028.08
  1719.23  1349.56  2037.84  1333.15  2030.8   2191.08  1385.17  1608.73
  1109.78  1697.88  1104.94  1608.41  1115.81  1925.17  1910.97  1361.53
  2120.23  1490.05  2386.17  1576.03  2372.1   1527.06  2224.82  1491.05
  2255.77  2777.65  2073.84  2987.12  1966.6   2959.55  1973.99  3552.53
  2292.87  3136.68  3297.42  2195.54  3273.63  2758.15  1832.66  1054.28
  1599.07  1117.73  1825.25  1508.45]",3,2,256,256,1
cycle_gan_iphone2dslr_flower_num_classes_2_num_dev_examples_5000_num_test_examples_552_resolution_512_num_channels_3,"[ 8887.09  1506.35  1016.08  1556.8   1031.34  1519.24  2292.17  2402.1
  1477.82  2277.95  2439.95  1472.41  1700.27  1033.07  1549.55  1036.1
  1521.48  1023.49  1566.03  1042.88  1624.12  1649.6   1076.59  1658.24
 24914.25  1550.7   1024.88  1505.31  1016.45  1555.68  1511.85  1139.89
  1711.33  1162.99  1735.15  1171.05  1781.97  1049.71  1506.25  1057.24
  1564.4   1528.84  1028.2   1655.38  1064.56  1605.7   1111.88  1677.54
  1188.66  1618.52  1594.72  1038.29  1541.42  1053.24  1587.76  1032.26
  1840.25  1313.42  2042.67  1316.93  1936.52  1994.71  1231.66  1661.87
  1115.79  1752.3   1149.6   1675.45  1159.75  1978.42  2023.66  1353.01
  2090.76  1551.78  2066.09  1572.85  2257.15  1551.26  2309.66  1477.29
  2213.09  2756.14  1961.29  2925.29  2003.98  2806.65  1875.64  3025.8
  2197.77  3404.59  3425.65  2022.37  3304.37  1924.71  1837.69  1083.81
  1580.97  1069.13  1683.    1436.42]",3,2,256,256,1
cycle_gan_summer2winter_yosemite_num_classes_2_num_dev_examples_1167_num_test_examples_70_resolution_512_num_channels_3,"[ 2599.15   151.42   373.26   268.17   296.65   472.47  4393.58  6103.92
  4225.89  6351.27  6310.66  3908.59  2092.03   171.1    198.66   159.55
   363.63   245.11   995.77  1289.91  2210.92  2454.3   1521.35  1794.1
 23913.67   334.59    84.9    136.96   126.41   262.93   421.4   2462.24
  3607.07  2592.88  3736.26  2278.68  3186.66  1057.46   194.66    95.99
   137.45   146.5    153.66   922.65  1450.3   1980.77  1554.5   1833.04
  1032.93  1421.37   208.4     83.53   125.45   132.89   168.97   182.2
  3373.36  3376.14  4958.19  3526.51  4743.04  4622.18  1635.53   284.96
   169.07   238.03   132.7    202.41   178.03  2103.73  2398.46  1714.63
  1984.09  1131.44  1435.03   420.58   583.18   390.97   605.16   444.01
   703.76  3437.22  3286.27  5191.84  3356.64  4848.78  3050.07  3623.51
  2034.6   2877.24  3354.17  1844.64  2160.62  1153.23  1866.7   1305.15
  2229.59  1701.39  1632.22  1320.1 ]",3,2,256,256,1
cycle_gan_summer2winter_yosemite_num_classes_2_num_dev_examples_522_num_test_examples_198_resolution_128_num_channels_3,"[ 3743.58   158.77   387.65   272.21   189.99   370.03  3900.88  5451.01
  3784.52  6258.66  6402.32  3967.94  1955.27   154.7    195.66   211.14
   409.15   144.79   692.94  1110.25  2234.56  2691.32  1720.54  2221.15
 24255.56   172.37    80.23   115.58   162.77   402.17   304.6   1849.31
  2937.7   2201.37  3533.12  2399.06  3654.8   1239.41   207.77    93.16
   118.55   156.96   239.14   906.74  1148.28  1994.25  1400.33  2135.61
  1495.63  2008.65   228.25    80.36   109.09   113.29   150.2    205.66
  2766.74  2647.96  4403.77  3248.02  4756.96  4893.22  1939.6    304.59
   157.41   229.07   129.08   167.58   215.62  2025.94  2247.37  1599.77
  2368.57  1578.16  2383.02   443.57   557.95   356.63   536.14   354.37
   504.75  2401.72  2539.95  4201.84  2989.6   4772.87  3576.51  4321.44
  1985.5   3136.13  3219.61  1977.01  2863.39  1764.3   1903.8   1396.94
  2431.51  1592.53  2199.62  1788.87]",3,2,256,256,1
cycle_gan_summer2winter_yosemite_num_classes_2_num_dev_examples_853_num_test_examples_146_resolution_256_num_channels_3,"[ 6168.26   126.67   156.9    202.39   192.69   500.51  4345.54  6140.79
  3958.09  6213.61  6297.55  3756.88  1911.96   154.02   176.24   172.14
   194.01   216.55   786.39  1308.21  2244.06  2364.75  1770.38  2301.34
 24069.39   386.67    69.71    97.12   135.23   176.06   297.59  1995.12
  3423.8   2525.07  3466.44  2411.34  3469.8    914.64   175.29    81.87
   102.89   125.99   137.12   864.55  1320.39  2029.86  1447.    2203.01
  1305.33  2104.1    209.24    66.81    93.28   120.98   112.47   157.04
  2627.5   2829.9   4516.4   3165.49  4265.86  4372.86  1512.98   287.2
   163.9    246.56   133.21   169.55   213.23  2086.57  2199.22  1691.26
  2386.95  1424.59  1961.11   351.29   427.47   268.16   427.13   291.95
   484.71  2577.28  2974.39  4548.69  3170.42  4466.66  3024.58  3665.94
  2016.66  2905.36  3014.2   2363.77  2754.83  1608.64  2096.75  1417.82
  2152.55  1675.89  2043.79  1869.6 ]",3,2,256,256,1
cycle_gan_ukiyoe2photo_num_classes_2_num_dev_examples_4070_num_test_examples_630_resolution_256_num_channels_3,"[ 5508.57   138.84   280.81   417.24   349.36   509.75  4618.53  6490.81
  4101.55  6228.92  6040.16  3647.91  1774.13   171.33   194.4    226.03
   350.48   288.33   878.71  1468.6   2403.49  2375.82  1749.74  1303.05
 22829.11   371.83    70.55   101.34   143.87   356.18   479.49  2544.29
  3911.46  2579.44  3566.09  2467.83  2880.15   855.29   179.83    87.43
   108.65   128.55   254.84  1025.26  1586.69  2134.12  1285.42  1840.4
   896.68   848.66   207.55    68.91    99.46   103.98   133.07   269.91
  3211.33  3499.34  4860.35  3431.84  4814.92  4586.77  1664.03   332.42
   183.2    249.09   128.95   164.28   236.28  2360.18  2407.52  1565.66
  2009.93   918.07  1168.37   329.22   470.11   339.65   548.32   394.83
   655.94  3342.8   3494.4   5119.02  3633.19  4972.27  3133.55  3994.35
  2490.96  3205.56  2977.96  1836.98  1652.     759.26  2079.06  1567.83
  2123.37  1460.1   1401.26   900.59]",3,2,256,256,1
cycle_gan_ukiyoe2photo_num_classes_2_num_dev_examples_6230_num_test_examples_660_resolution_128_num_channels_3,"[ 5343.88   136.67   202.41   282.52   506.1   1016.56  6727.81  7410.93
  4919.42  7906.98  7525.32  4254.44  2138.55   188.39   217.74   197.43
   240.48   228.99   754.51  1109.66  1616.46  1803.25  1864.85  2798.86
 21485.57   801.9     78.75   115.45   139.42   274.18   402.1   2265.36
  3225.14  2516.89  3490.93  2454.79  2662.86   933.88   217.16    92.99
   122.08   135.83   199.58   864.77  1110.79  1609.18  1140.45  1589.79
   886.97   894.44   275.48    78.64   118.22   186.17   159.88   230.01
  3127.41  3137.95  4847.86  3733.01  4865.46  4390.38  2224.2    697.34
   445.86   452.09   220.07   228.63   266.98  1722.15  1832.49  1437.11
  1907.02  1023.02  1484.08   532.06   651.5    454.02   670.1    495.96
   757.87  2932.54  2849.64  4333.64  3480.98  4592.55  2965.47  3712.46
  2006.35  2424.63  2649.05  1690.67  1697.46  1213.47  1723.98  1113.91
  1747.21  1328.21  1341.36  1047.94]",3,2,256,256,1
cycle_gan_ukiyoe2photo_num_classes_2_num_dev_examples_6768_num_test_examples_330_resolution_512_num_channels_3,"[ 4222.42   134.1    313.84   347.78   592.56   764.45  4930.21  6152.18
  3967.09  6471.5   6491.03  3925.33  1807.14   162.31   190.16   243.68
   371.17   530.95   978.23  1253.6   2179.33  2325.69  2102.51  2215.95
 22291.11   400.55    73.65   108.12   150.94   379.8    686.41  2291.59
  3147.54  2364.28  3478.8   2610.4   3009.82  1150.59   202.13    86.12
   112.02   131.71   328.84  1070.2   1528.15  1729.85  1121.33  1951.59
  1278.09  1354.75   197.79    70.79   103.55   128.85   138.23   309.35
  3050.96  3255.72  4615.79  3514.89  5066.98  4361.78  1946.66   371.47
   193.66   238.17   129.18   171.76   318.92  2002.89  2170.49  1460.91
  2202.7   1402.11  1839.88   498.81   554.51   373.91   606.41   398.49
   598.22  2612.44  3056.79  4468.77  3501.74  5308.2   3166.78  3377.7
  2108.37  2671.88  2924.64  2273.82  2444.05  1101.19  1658.86  1410.55
  1930.84  1686.92  1947.89   951.15]",3,2,256,256,1
cycle_gan_vangogh2photo_num_classes_2_num_dev_examples_5368_num_test_examples_722_resolution_512_num_channels_3,"[ 2486.91   148.51   261.92   374.76   502.27   695.85  5639.52  6790.94
  4315.77  6888.96  6372.48  3896.08  1822.68   176.47   219.47   206.1
   350.53   328.68   855.21  1559.96  1997.34  2108.76  1833.94  2013.8
 22780.79   393.15    83.04   128.3    131.71   395.88   598.31  2584.73
  3745.92  2649.13  3573.55  2278.22  2897.14   936.66   195.72    97.82
   134.34   145.89   217.4   1134.22  1413.41  1942.94  1243.22  1576.1
   856.71  1064.3    238.59    79.84   123.34   165.58   178.19   317.32
  3556.95  3417.16  5135.93  3613.87  4605.5   4579.52  1837.55   459.19
   238.62   252.77   144.42   192.76   291.25  2132.11  2316.98  1436.6
  1802.47   986.34  1245.98   408.03   582.29   386.22   645.28   467.16
   761.11  3486.11  3366.53  5014.34  3711.34  4592.04  3151.63  3666.8
  2516.43  3129.42  2950.01  1577.59  1882.69   818.58  1923.21  1489.51
  1992.4   1310.38  1405.38   979.18]",3,2,256,256,1
cycle_gan_vangogh2photo_num_classes_2_num_dev_examples_7056_num_test_examples_782_resolution_256_num_channels_3_original,"[ 4393.66   151.81   116.18   193.75   243.56   669.1   6896.36  8173.57
  4806.56  8418.24  7979.68  4571.85  2159.11   197.16   233.39   150.68
   198.57   226.05   798.83  1163.94  1620.9   1965.11  1367.93  1577.94
 23856.96   496.43    87.57   128.08   107.18   172.54   258.    2212.1
  3213.53  2487.11  3616.87  2279.97  2843.84   991.15   219.6    102.41
   130.89   129.83   122.21   848.56  1183.65  1574.33  1227.62  1688.94
   898.22  1048.04   250.28    85.     122.09   209.8    157.19   161.47
  3415.59  3092.09  4950.05  3628.83  4843.76  4340.17  1909.09   486.13
   303.96   353.34   192.     251.29   258.42  1994.38  1927.97  1426.
  2031.91  1032.05  1366.3    545.46   656.34   411.71   651.79   451.34
   750.79  3012.66  2891.47  4681.83  3352.27  4773.76  2795.32  3466.68
  1834.92  2407.35  2460.34  1671.7   1679.56   909.54  1662.87  1158.05
  1752.17  1214.17  1435.93   991.26]",3,2,256,256,1
cycle_gan_vangogh2photo_num_classes_2_num_dev_examples_961_num_test_examples_10_resolution_256_num_channels_3,"[ 4339.91   188.18   169.85   303.91   262.61   623.33  5184.44  7614.08
  4818.59  7431.02  7018.02  4320.03  2023.66   199.13   230.5    148.88
   180.     159.06   762.21  1309.52  1911.27  2158.9   1338.15  2055.04
 23661.64   337.19    91.18   126.13    93.66   229.66   359.02  2389.55
  3611.13  2493.15  3496.55  2057.35  2762.7   1014.16   201.01    98.92
   130.73   124.16    90.88   744.94  1326.52  1882.07  1324.45  1679.91
   955.96  1274.14   211.32    88.92   134.08   135.49   167.78   185.13
  3300.52  3619.77  5250.7   3693.56  4721.09  4428.43  1722.38   378.93
   212.45   313.77   168.64   221.23   230.92  2079.53  2200.54  1491.82
  1912.73  1107.63  1531.47   526.09   713.11   467.7    726.87   498.72
   763.24  3092.78  3366.09  4961.2   3370.1   4284.57  2736.05  3404.79
  2007.4   2778.83  2775.84  1509.11  1895.97  1065.1   1970.    1276.1
  1977.73  1143.14  1423.19  1058.4 ]",3,2,256,256,1
deep_weeds_num_classes_2_num_dev_examples_960_num_test_examples_358_resolution_512_num_channels_3,"[  609.41   296.83   199.62   300.8    206.75   456.21  5822.55  8831.53
  5791.86  8467.6   8652.    5525.07  2757.08   236.67   312.97   201.05
   297.43   195.91   873.38  1108.1   1261.28   938.69   510.32   657.11
 25023.1    286.65   190.09   282.34   190.62   284.59   313.06  2939.15
  3950.67  2336.85  3174.79  1881.5   2582.56   902.64   281.05   188.65
   280.08   277.3    183.64   824.67  1071.34  1234.49   629.6    765.5
   439.23   710.41   287.13   186.73   278.68   191.91   286.81   192.5
  4589.78  4399.69  6238.1   3904.18  5506.4   5212.25  1877.62   334.74
   224.47   383.37   254.32   352.53   277.38  1988.39  1587.28   915.5
  1213.95   748.    1212.49   863.94  1320.33   887.31  1323.89   887.95
  1330.91  4614.86  4029.41  5529.89  3363.64  4576.18  2750.97  3611.97
  1598.03  1778.31  1286.27   674.23   865.7    829.72  1638.33   830.43
   980.89   518.51   673.14  1464.2 ]",3,9,256,256,1
